Char	Codept	Name (Digraph)	Link	Html
꜅	U+A705	MODIFIER LETTER CHINESE TONE YANG QU	http://unicode-table.com/en/A705/	&#xA705;
꜆	U+A706	MODIFIER LETTER CHINESE TONE YIN RU	http://unicode-table.com/en/A706/	&#xA706;
꜇	U+A707	MODIFIER LETTER CHINESE TONE YANG RU	http://unicode-table.com/en/A707/	&#xA707;
꜈	U+A708	MODIFIER LETTER EXTRA-HIGH DOTTED TONE BAR	http://unicode-table.com/en/A708/	&#xA708;
꜉	U+A709	MODIFIER LETTER HIGH DOTTED TONE BAR	http://unicode-table.com/en/A709/	&#xA709;
꜊	U+A70A	MODIFIER LETTER MID DOTTED TONE BAR	http://unicode-table.com/en/A70A/	&#xA70A;
꜋	U+A70B	MODIFIER LETTER LOW DOTTED TONE BAR	http://unicode-table.com/en/A70B/	&#xA70B;
꜌	U+A70C	MODIFIER LETTER EXTRA-LOW DOTTED TONE BAR	http://unicode-table.com/en/A70C/	&#xA70C;
꜍	U+A70D	MODIFIER LETTER EXTRA-HIGH DOTTED LEFT-STEM TONE BAR	http://unicode-table.com/en/A70D/	&#xA70D;
꜎	U+A70E	MODIFIER LETTER HIGH DOTTED LEFT-STEM TONE BAR	http://unicode-table.com/en/A70E/	&#xA70E;
꜏	U+A70F	MODIFIER LETTER MID DOTTED LEFT-STEM TONE BAR	http://unicode-table.com/en/A70F/	&#xA70F;
꜐	U+A710	MODIFIER LETTER LOW DOTTED LEFT-STEM TONE BAR	http://unicode-table.com/en/A710/	&#xA710;
꜑	U+A711	MODIFIER LETTER EXTRA-LOW DOTTED LEFT-STEM TONE BAR	http://unicode-table.com/en/A711/	&#xA711;
꜒	U+A712	MODIFIER LETTER EXTRA-HIGH LEFT-STEM TONE BAR	http://unicode-table.com/en/A712/	&#xA712;
꜓	U+A713	MODIFIER LETTER HIGH LEFT-STEM TONE BAR	http://unicode-table.com/en/A713/	&#xA713;
꜔	U+A714	MODIFIER LETTER MID LEFT-STEM TONE BAR	http://unicode-table.com/en/A714/	&#xA714;
꜕	U+A715	MODIFIER LETTER LOW LEFT-STEM TONE BAR	http://unicode-table.com/en/A715/	&#xA715;
꜖	U+A716	MODIFIER LETTER EXTRA-LOW LEFT-STEM TONE BAR	http://unicode-table.com/en/A716/	&#xA716;
ꜗ	U+A717	MODIFIER LETTER DOT VERTICAL BAR	http://unicode-table.com/en/A717/	&#xA717;
ꜘ	U+A718	MODIFIER LETTER DOT SLASH	http://unicode-table.com/en/A718/	&#xA718;
ꜙ	U+A719	MODIFIER LETTER DOT HORIZONTAL BAR	http://unicode-table.com/en/A719/	&#xA719;
ꜚ	U+A71A	MODIFIER LETTER LOWER RIGHT CORNER ANGLE	http://unicode-table.com/en/A71A/	&#xA71A;
ꜛ	U+A71B	MODIFIER LETTER RAISED UP ARROW	http://unicode-table.com/en/A71B/	&#xA71B;
ꜜ	U+A71C	MODIFIER LETTER RAISED DOWN ARROW	http://unicode-table.com/en/A71C/	&#xA71C;
ꜝ	U+A71D	MODIFIER LETTER RAISED EXCLAMATION MARK	http://unicode-table.com/en/A71D/	&#xA71D;
ꜞ	U+A71E	MODIFIER LETTER RAISED INVERTED EXCLAMATION MARK	http://unicode-table.com/en/A71E/	&#xA71E;
ꜟ	U+A71F	MODIFIER LETTER LOW INVERTED EXCLAMATION MARK	http://unicode-table.com/en/A71F/	&#xA71F;
꜠	U+A720	MODIFIER LETTER STRESS AND HIGH TONE	http://unicode-table.com/en/A720/	&#xA720;
꜡	U+A721	MODIFIER LETTER STRESS AND LOW TONE	http://unicode-table.com/en/A721/	&#xA721;
Ꜣ	U+A722	LATIN CAPITAL LETTER EGYPTOLOGICAL ALEF	http://unicode-table.com/en/A722/	&#xA722;
ꜣ	U+A723	LATIN SMALL LETTER EGYPTOLOGICAL ALEF	http://unicode-table.com/en/A723/	&#xA723;
Ꜥ	U+A724	LATIN CAPITAL LETTER EGYPTOLOGICAL AIN	http://unicode-table.com/en/A724/	&#xA724;
ꜥ	U+A725	LATIN SMALL LETTER EGYPTOLOGICAL AIN	http://unicode-table.com/en/A725/	&#xA725;
Ꜧ	U+A726	LATIN CAPITAL LETTER HENG	http://unicode-table.com/en/A726/	&#xA726;
ꜧ	U+A727	LATIN SMALL LETTER HENG	http://unicode-table.com/en/A727/	&#xA727;
Ꜩ	U+A728	LATIN CAPITAL LETTER TZ	http://unicode-table.com/en/A728/	&#xA728;
ꜩ	U+A729	LATIN SMALL LETTER TZ	http://unicode-table.com/en/A729/	&#xA729;
Ꜫ	U+A72A	LATIN CAPITAL LETTER TRESILLO	http://unicode-table.com/en/A72A/	&#xA72A;
ꜫ	U+A72B	LATIN SMALL LETTER TRESILLO	http://unicode-table.com/en/A72B/	&#xA72B;
Ꜭ	U+A72C	LATIN CAPITAL LETTER CUATRILLO	http://unicode-table.com/en/A72C/	&#xA72C;
ꜭ	U+A72D	LATIN SMALL LETTER CUATRILLO	http://unicode-table.com/en/A72D/	&#xA72D;
Ꜯ	U+A72E	LATIN CAPITAL LETTER CUATRILLO WITH COMMA	http://unicode-table.com/en/A72E/	&#xA72E;
ꜯ	U+A72F	LATIN SMALL LETTER CUATRILLO WITH COMMA	http://unicode-table.com/en/A72F/	&#xA72F;
ꜰ	U+A730	LATIN LETTER SMALL CAPITAL F	http://unicode-table.com/en/A730/	&#xA730;
ꜱ	U+A731	LATIN LETTER SMALL CAPITAL S	http://unicode-table.com/en/A731/	&#xA731;
Ꜳ	U+A732	LATIN CAPITAL LETTER AA	http://unicode-table.com/en/A732/	&#xA732;
ꜳ	U+A733	LATIN SMALL LETTER AA	http://unicode-table.com/en/A733/	&#xA733;
Ꜵ	U+A734	LATIN CAPITAL LETTER AO	http://unicode-table.com/en/A734/	&#xA734;
ꜵ	U+A735	LATIN SMALL LETTER AO	http://unicode-table.com/en/A735/	&#xA735;
Ꜷ	U+A736	LATIN CAPITAL LETTER AU	http://unicode-table.com/en/A736/	&#xA736;
ꜷ	U+A737	LATIN SMALL LETTER AU	http://unicode-table.com/en/A737/	&#xA737;
Ꜹ	U+A738	LATIN CAPITAL LETTER AV	http://unicode-table.com/en/A738/	&#xA738;
ꜹ	U+A739	LATIN SMALL LETTER AV	http://unicode-table.com/en/A739/	&#xA739;
Ꜻ	U+A73A	LATIN CAPITAL LETTER AV WITH HORIZONTAL BAR	http://unicode-table.com/en/A73A/	&#xA73A;
ꜻ	U+A73B	LATIN SMALL LETTER AV WITH HORIZONTAL BAR	http://unicode-table.com/en/A73B/	&#xA73B;
Ꜽ	U+A73C	LATIN CAPITAL LETTER AY	http://unicode-table.com/en/A73C/	&#xA73C;
ꜽ	U+A73D	LATIN SMALL LETTER AY	http://unicode-table.com/en/A73D/	&#xA73D;
Ꜿ	U+A73E	LATIN CAPITAL LETTER REVERSED C WITH DOT	http://unicode-table.com/en/A73E/	&#xA73E;
ꜿ	U+A73F	LATIN SMALL LETTER REVERSED C WITH DOT	http://unicode-table.com/en/A73F/	&#xA73F;
Ꝁ	U+A740	LATIN CAPITAL LETTER K WITH STROKE	http://unicode-table.com/en/A740/	&#xA740;
ꝁ	U+A741	LATIN SMALL LETTER K WITH STROKE	http://unicode-table.com/en/A741/	&#xA741;
